Timestamp,Date,Time,Detected_Sign,Confidence,Detection_Source,Language,Location_Info,Session_ID
2025-08-14T18:03:57.880323,2025-08-14,18:03:57,Yield,0.7246,Video,English,Video File,20250814_180357
2025-08-14T18:03:58.076303,2025-08-14,18:03:58,Yield,0.9885,Video,English,Video File,20250814_180358
2025-08-14T18:03:58.292023,2025-08-14,18:03:58,Yield,0.9684,Video,English,Video File,20250814_180358
2025-08-14T18:03:58.491520,2025-08-14,18:03:58,Yield,0.9936,Video,English,Video File,20250814_180358
2025-08-14T18:03:58.715530,2025-08-14,18:03:58,Yield,0.9932,Video,English,Video File,20250814_180358
2025-08-14T18:03:58.910215,2025-08-14,18:03:58,Yield,0.9930,Video,English,Video File,20250814_180358
2025-08-14T18:03:59.096352,2025-08-14,18:03:59,Yield,0.9149,Video,English,Video File,20250814_180359
2025-08-14T18:04:00.092586,2025-08-14,18:04:00,Yield,0.8759,Video,English,Video File,20250814_180400
2025-08-14T18:04:00.291795,2025-08-14,18:04:00,Yield,0.8693,Video,English,Video File,20250814_180400
2025-08-14T18:04:00.960726,2025-08-14,18:04:00,Yield,0.7082,Video,English,Video File,20250814_180400
2025-08-14T18:04:01.962790,2025-08-14,18:04:01,Yield,0.7463,Video,English,Video File,20250814_180401
2025-08-14T18:04:02.573091,2025-08-14,18:04:02,Yield,0.9479,Video,English,Video File,20250814_180402
2025-08-14T18:04:03.023742,2025-08-14,18:04:03,Yield,0.7847,Video,English,Video File,20250814_180403
2025-08-14T18:04:03.926861,2025-08-14,18:04:03,Yield,0.9850,Video,English,Video File,20250814_180403
2025-08-14T18:04:04.150964,2025-08-14,18:04:04,Go straight or left,0.8414,Video,English,Video File,20250814_180404
2025-08-14T18:04:04.843360,2025-08-14,18:04:04,Stop sign,0.7393,Video,English,Video File,20250814_180404
2025-08-14T18:04:05.183428,2025-08-14,18:04:05,Stop sign,0.7432,Video,English,Video File,20250814_180405
2025-08-14T18:04:08.514650,2025-08-14,18:04:08,Go straight or left,0.8645,Video,English,Video File,20250814_180408
2025-08-14T18:04:08.740847,2025-08-14,18:04:08,Go straight or left,0.8695,Video,English,Video File,20250814_180408
2025-08-14T18:04:09.396695,2025-08-14,18:04:09,Ahead only,0.7969,Video,English,Video File,20250814_180409
2025-08-14T18:04:10.088995,2025-08-14,18:04:10,Yield,0.9957,Video,English,Video File,20250814_180410
2025-08-14T18:04:10.322030,2025-08-14,18:04:10,Yield,0.9683,Video,English,Video File,20250814_180410
2025-08-14T18:04:10.535184,2025-08-14,18:04:10,Yield,0.9647,Video,English,Video File,20250814_180410
2025-08-14T18:04:10.747889,2025-08-14,18:04:10,Yield,0.9752,Video,English,Video File,20250814_180410
2025-08-14T18:04:10.941048,2025-08-14,18:04:10,Yield,0.9988,Video,English,Video File,20250814_180410
2025-08-14T18:04:11.130178,2025-08-14,18:04:11,Yield,0.9981,Video,English,Video File,20250814_180411
2025-08-14T18:04:11.342638,2025-08-14,18:04:11,Yield,1.0000,Video,English,Video File,20250814_180411
2025-08-14T18:04:11.547703,2025-08-14,18:04:11,Yield,0.9999,Video,English,Video File,20250814_180411
2025-08-14T18:04:11.807154,2025-08-14,18:04:11,Yield,0.9998,Video,English,Video File,20250814_180411
2025-08-14T18:04:12.000059,2025-08-14,18:04:12,Yield,0.9998,Video,English,Video File,20250814_180412
2025-08-14T18:04:12.186825,2025-08-14,18:04:12,Yield,0.9996,Video,English,Video File,20250814_180412
2025-08-14T18:04:12.386237,2025-08-14,18:04:12,Yield,0.9999,Video,English,Video File,20250814_180412
2025-08-14T18:04:12.598845,2025-08-14,18:04:12,Yield,0.9999,Video,English,Video File,20250814_180412
2025-08-14T18:04:12.808992,2025-08-14,18:04:12,Yield,0.9999,Video,English,Video File,20250814_180412
2025-08-14T18:04:13.033214,2025-08-14,18:04:13,Yield,0.9998,Video,English,Video File,20250814_180413
2025-08-14T18:04:13.256637,2025-08-14,18:04:13,Yield,0.9998,Video,English,Video File,20250814_180413
2025-08-14T18:04:13.482853,2025-08-14,18:04:13,Yield,0.9988,Video,English,Video File,20250814_180413
2025-08-14T18:04:13.720419,2025-08-14,18:04:13,Yield,0.9989,Video,English,Video File,20250814_180413
2025-08-14T18:04:13.938906,2025-08-14,18:04:13,Yield,0.9989,Video,English,Video File,20250814_180413
2025-08-14T18:04:14.161430,2025-08-14,18:04:14,Yield,0.8966,Video,English,Video File,20250814_180414
2025-08-14T18:04:14.378813,2025-08-14,18:04:14,Yield,0.9677,Video,English,Video File,20250814_180414
2025-08-14T18:04:14.598057,2025-08-14,18:04:14,Yield,0.9676,Video,English,Video File,20250814_180414
2025-08-14T18:04:14.798141,2025-08-14,18:04:14,Yield,0.9787,Video,English,Video File,20250814_180414
2025-08-14T18:04:15.427857,2025-08-14,18:04:15,Yield,0.8387,Video,English,Video File,20250814_180415
2025-08-14T18:04:15.679960,2025-08-14,18:04:15,Yield,0.9342,Video,English,Video File,20250814_180415
2025-08-14T18:04:15.884277,2025-08-14,18:04:15,Yield,0.9346,Video,English,Video File,20250814_180415
2025-08-14T18:04:16.088809,2025-08-14,18:04:16,Yield,0.8940,Video,English,Video File,20250814_180416
2025-08-14T18:04:16.318081,2025-08-14,18:04:16,Yield,0.9388,Video,English,Video File,20250814_180416
2025-08-14T18:04:16.524925,2025-08-14,18:04:16,Yield,0.9383,Video,English,Video File,20250814_180416
2025-08-14T18:04:16.740150,2025-08-14,18:04:16,Yield,0.9829,Video,English,Video File,20250814_180416
2025-08-14T18:04:16.947973,2025-08-14,18:04:16,Yield,0.9833,Video,English,Video File,20250814_180416
2025-08-14T18:04:17.156951,2025-08-14,18:04:17,Yield,0.9847,Video,English,Video File,20250814_180417
2025-08-14T18:04:17.342012,2025-08-14,18:04:17,Yield,0.9956,Video,English,Video File,20250814_180417
2025-08-14T18:04:17.559636,2025-08-14,18:04:17,Yield,0.9963,Video,English,Video File,20250814_180417
2025-08-14T18:04:17.781732,2025-08-14,18:04:17,Yield,0.9911,Video,English,Video File,20250814_180417
2025-08-14T18:04:18.016508,2025-08-14,18:04:18,Yield,0.8981,Video,English,Video File,20250814_180418
2025-08-14T18:04:18.234934,2025-08-14,18:04:18,Yield,0.9930,Video,English,Video File,20250814_180418
2025-08-14T18:04:18.476193,2025-08-14,18:04:18,Yield,0.9930,Video,English,Video File,20250814_180418
