Timestamp,Date,Time,Detected_Sign,Confidence,Detection_Source,Language,Location_Info,Session_ID
2025-08-16T09:55:50.102967,2025-08-16,09:55:50,Yield,0.7246,Video,English,Video File,20250816_095550
2025-08-16T09:55:50.341809,2025-08-16,09:55:50,Yield,0.9885,Video,English,Video File,20250816_095550
2025-08-16T09:55:50.555892,2025-08-16,09:55:50,Yield,0.9684,Video,English,Video File,20250816_095550
2025-08-16T09:55:50.752480,2025-08-16,09:55:50,Yield,0.9936,Video,English,Video File,20250816_095550
2025-08-16T09:55:50.936992,2025-08-16,09:55:50,Yield,0.9932,Video,English,Video File,20250816_095550
2025-08-16T09:55:51.120731,2025-08-16,09:55:51,Yield,0.9930,Video,English,Video File,20250816_095551
2025-08-16T09:55:51.307083,2025-08-16,09:55:51,Yield,0.9149,Video,English,Video File,20250816_095551
2025-08-16T09:55:52.280177,2025-08-16,09:55:52,Yield,0.8759,Video,English,Video File,20250816_095552
2025-08-16T09:55:52.486586,2025-08-16,09:55:52,Yield,0.8693,Video,English,Video File,20250816_095552
2025-08-16T09:55:53.049281,2025-08-16,09:55:53,Yield,0.7082,Video,English,Video File,20250816_095553
2025-08-16T09:55:53.994700,2025-08-16,09:55:53,Yield,0.7463,Video,English,Video File,20250816_095553
2025-08-16T09:55:54.570747,2025-08-16,09:55:54,Yield,0.9479,Video,English,Video File,20250816_095554
2025-08-16T09:55:54.924859,2025-08-16,09:55:54,Yield,0.7847,Video,English,Video File,20250816_095554
2025-08-16T09:55:55.673083,2025-08-16,09:55:55,Yield,0.9850,Video,English,Video File,20250816_095555
2025-08-16T09:55:55.893342,2025-08-16,09:55:55,Go straight or left,0.8414,Video,English,Video File,20250816_095555
2025-08-16T09:55:56.272529,2025-08-16,09:55:56,Stop sign,0.7393,Video,English,Video File,20250816_095556
2025-08-16T09:55:56.467934,2025-08-16,09:55:56,Stop sign,0.7432,Video,English,Video File,20250816_095556
2025-08-16T09:55:59.457737,2025-08-16,09:55:59,Go straight or left,0.8645,Video,English,Video File,20250816_095559
2025-08-16T09:55:59.674731,2025-08-16,09:55:59,Go straight or left,0.8695,Video,English,Video File,20250816_095559
2025-08-16T09:56:00.405967,2025-08-16,09:56:00,Ahead only,0.7969,Video,English,Video File,20250816_095600
2025-08-16T09:56:01.018171,2025-08-16,09:56:01,Yield,0.9957,Video,English,Video File,20250816_095601
2025-08-16T09:56:01.226681,2025-08-16,09:56:01,Yield,0.9683,Video,English,Video File,20250816_095601
2025-08-16T09:56:01.431730,2025-08-16,09:56:01,Yield,0.9647,Video,English,Video File,20250816_095601
2025-08-16T09:56:01.653417,2025-08-16,09:56:01,Yield,0.9752,Video,English,Video File,20250816_095601
2025-08-16T09:56:01.876779,2025-08-16,09:56:01,Yield,0.9988,Video,English,Video File,20250816_095601
2025-08-16T09:56:02.078742,2025-08-16,09:56:02,Yield,0.9981,Video,English,Video File,20250816_095602
2025-08-16T09:56:02.276771,2025-08-16,09:56:02,Yield,1.0000,Video,English,Video File,20250816_095602
2025-08-16T09:56:02.494589,2025-08-16,09:56:02,Yield,0.9999,Video,English,Video File,20250816_095602
2025-08-16T09:56:02.694695,2025-08-16,09:56:02,Yield,0.9998,Video,English,Video File,20250816_095602
2025-08-16T09:56:02.883222,2025-08-16,09:56:02,Yield,0.9998,Video,English,Video File,20250816_095602
2025-08-16T09:56:03.089213,2025-08-16,09:56:03,Yield,0.9996,Video,English,Video File,20250816_095603
2025-08-16T09:56:03.282630,2025-08-16,09:56:03,Yield,0.9999,Video,English,Video File,20250816_095603
2025-08-16T09:56:03.517917,2025-08-16,09:56:03,Yield,0.9999,Video,English,Video File,20250816_095603
2025-08-16T09:56:03.723363,2025-08-16,09:56:03,Yield,0.9999,Video,English,Video File,20250816_095603
2025-08-16T09:56:03.920173,2025-08-16,09:56:03,Yield,0.9998,Video,English,Video File,20250816_095603
2025-08-16T09:56:04.137817,2025-08-16,09:56:04,Yield,0.9998,Video,English,Video File,20250816_095604
2025-08-16T09:56:04.346427,2025-08-16,09:56:04,Yield,0.9988,Video,English,Video File,20250816_095604
2025-08-16T09:56:04.577949,2025-08-16,09:56:04,Yield,0.9989,Video,English,Video File,20250816_095604
2025-08-16T09:56:04.770716,2025-08-16,09:56:04,Yield,0.9989,Video,English,Video File,20250816_095604
2025-08-16T09:56:04.967553,2025-08-16,09:56:04,Yield,0.8966,Video,English,Video File,20250816_095604
2025-08-16T09:56:05.167867,2025-08-16,09:56:05,Yield,0.9677,Video,English,Video File,20250816_095605
2025-08-16T09:56:05.355755,2025-08-16,09:56:05,Yield,0.9676,Video,English,Video File,20250816_095605
2025-08-16T09:56:05.548733,2025-08-16,09:56:05,Yield,0.9787,Video,English,Video File,20250816_095605
2025-08-16T09:56:06.194756,2025-08-16,09:56:06,Yield,0.8387,Video,English,Video File,20250816_095606
2025-08-16T09:56:06.377859,2025-08-16,09:56:06,Yield,0.9342,Video,English,Video File,20250816_095606
2025-08-16T09:56:06.566681,2025-08-16,09:56:06,Yield,0.9346,Video,English,Video File,20250816_095606
2025-08-16T09:56:06.788668,2025-08-16,09:56:06,Yield,0.8940,Video,English,Video File,20250816_095606
2025-08-16T09:56:06.992163,2025-08-16,09:56:06,Yield,0.9388,Video,English,Video File,20250816_095606
2025-08-16T09:56:07.215508,2025-08-16,09:56:07,Yield,0.9383,Video,English,Video File,20250816_095607
2025-08-16T09:56:07.474978,2025-08-16,09:56:07,Yield,0.9829,Video,English,Video File,20250816_095607
2025-08-16T09:56:07.663061,2025-08-16,09:56:07,Yield,0.9833,Video,English,Video File,20250816_095607
2025-08-16T09:56:07.863700,2025-08-16,09:56:07,Yield,0.9847,Video,English,Video File,20250816_095607
2025-08-16T09:56:08.066925,2025-08-16,09:56:08,Yield,0.9956,Video,English,Video File,20250816_095608
2025-08-16T09:56:08.313294,2025-08-16,09:56:08,Yield,0.9963,Video,English,Video File,20250816_095608
2025-08-16T09:56:08.503485,2025-08-16,09:56:08,Yield,0.9911,Video,English,Video File,20250816_095608
2025-08-16T09:56:08.716048,2025-08-16,09:56:08,Yield,0.8981,Video,English,Video File,20250816_095608
2025-08-16T09:56:08.890336,2025-08-16,09:56:08,Yield,0.9930,Video,English,Video File,20250816_095608
2025-08-16T09:56:09.083312,2025-08-16,09:56:09,Yield,0.9930,Video,English,Video File,20250816_095609
2025-08-16T09:56:09.276875,2025-08-16,09:56:09,Yield,0.9351,Video,English,Video File,20250816_095609
2025-08-16T09:56:09.830364,2025-08-16,09:56:09,Yield,0.9813,Video,English,Video File,20250816_095609
2025-08-16T09:56:10.037579,2025-08-16,09:56:10,Yield,0.9821,Video,English,Video File,20250816_095610
2025-08-16T09:56:10.282025,2025-08-16,09:56:10,Yield,0.9941,Video,English,Video File,20250816_095610
2025-08-16T09:56:10.484745,2025-08-16,09:56:10,Yield,0.9575,Video,English,Video File,20250816_095610
2025-08-16T09:56:10.671802,2025-08-16,09:56:10,Yield,0.9199,Video,English,Video File,20250816_095610
2025-08-16T09:56:10.892033,2025-08-16,09:56:10,Yield,0.9202,Video,English,Video File,20250816_095610
2025-08-16T09:56:11.089817,2025-08-16,09:56:11,Yield,0.9251,Video,English,Video File,20250816_095611
2025-08-16T09:56:11.283636,2025-08-16,09:56:11,Ahead only,0.8018,Video,English,Video File,20250816_095611
2025-08-16T09:56:11.489033,2025-08-16,09:56:11,Ahead only,0.7058,Video,English,Video File,20250816_095611
2025-08-16T09:56:11.672724,2025-08-16,09:56:11,Ahead only,0.8008,Video,English,Video File,20250816_095611
2025-08-16T09:56:11.873789,2025-08-16,09:56:11,Yield,0.8259,Video,English,Video File,20250816_095611
2025-08-16T09:56:12.052154,2025-08-16,09:56:12,Yield,0.8439,Video,English,Video File,20250816_095612
2025-08-16T09:56:12.250626,2025-08-16,09:56:12,Yield,0.9254,Video,English,Video File,20250816_095612
2025-08-16T09:56:12.486573,2025-08-16,09:56:12,Yield,0.9888,Video,English,Video File,20250816_095612
2025-08-16T09:56:12.678862,2025-08-16,09:56:12,Yield,0.9723,Video,English,Video File,20250816_095612
2025-08-16T09:56:12.882638,2025-08-16,09:56:12,Yield,0.9732,Video,English,Video File,20250816_095612
2025-08-16T09:56:13.068580,2025-08-16,09:56:13,Yield,0.9341,Video,English,Video File,20250816_095613
2025-08-16T09:56:13.260450,2025-08-16,09:56:13,Yield,0.9345,Video,English,Video File,20250816_095613
2025-08-16T09:56:13.443443,2025-08-16,09:56:13,Yield,0.7109,Video,English,Video File,20250816_095613
2025-08-16T09:56:13.627529,2025-08-16,09:56:13,Yield,0.9639,Video,English,Video File,20250816_095613
2025-08-16T09:56:13.822042,2025-08-16,09:56:13,Yield,0.9096,Video,English,Video File,20250816_095613
2025-08-16T09:56:14.014924,2025-08-16,09:56:14,Yield,0.8239,Video,English,Video File,20250816_095614
2025-08-16T09:56:14.208854,2025-08-16,09:56:14,Yield,0.9346,Video,English,Video File,20250816_095614
2025-08-16T09:56:14.404640,2025-08-16,09:56:14,Yield,0.9529,Video,English,Video File,20250816_095614
2025-08-16T09:56:14.590101,2025-08-16,09:56:14,Yield,0.7118,Video,English,Video File,20250816_095614
2025-08-16T09:56:14.795515,2025-08-16,09:56:14,Yield,0.7234,Video,English,Video File,20250816_095614
2025-08-16T09:56:15.018310,2025-08-16,09:56:15,Yield,0.7145,Video,English,Video File,20250816_095615
2025-08-16T09:56:16.382714,2025-08-16,09:56:16,Yield,0.9618,Video,English,Video File,20250816_095616
2025-08-16T09:56:16.574103,2025-08-16,09:56:16,Yield,0.9623,Video,English,Video File,20250816_095616
2025-08-16T09:56:16.751114,2025-08-16,09:56:16,Yield,0.9851,Video,English,Video File,20250816_095616
2025-08-16T09:56:16.950078,2025-08-16,09:56:16,Yield,0.9755,Video,English,Video File,20250816_095616
2025-08-16T09:56:17.532734,2025-08-16,09:56:17,Yield,0.9435,Video,English,Video File,20250816_095617
2025-08-16T09:56:17.709635,2025-08-16,09:56:17,Yield,0.9438,Video,English,Video File,20250816_095617
2025-08-16T09:56:17.892977,2025-08-16,09:56:17,Yield,0.9438,Video,English,Video File,20250816_095617
2025-08-16T09:56:18.099167,2025-08-16,09:56:18,Yield,0.9343,Video,English,Video File,20250816_095618
2025-08-16T09:56:18.302486,2025-08-16,09:56:18,Yield,0.9895,Video,English,Video File,20250816_095618
2025-08-16T09:56:18.501870,2025-08-16,09:56:18,Yield,0.9902,Video,English,Video File,20250816_095618
2025-08-16T09:56:18.863559,2025-08-16,09:56:18,Yield,0.8597,Video,English,Video File,20250816_095618
